listing_id,tower_number,unit_category,unit_number,floor_area_sqft,sale_price,client_ref,client type ,Individual,Company,gender,country,Country Encoding ,region,acquisition,Region Encoding ,Home ,Investment,loan type,satisfaction,referral channel,Sacled Satsifaction Score,Website,Client,Agency,,,,,,
1012,1,Apartment,12,1160.36,"$300,385.62 ",C0027,Individual,1,0,M,USA,2,California,Home,1,1,0,Yes,5,Website,3.8,1,0,0,,,,,,
1015,1,Apartment,15,782.25,"$208,930.81 ",C0097,Individual,1,0,M,USA,2,Virginia,Home,2,1,0,Yes,5,Website,3.8,1,0,0,,,,,Reference Table,
1021,1,Apartment,21,756.21,"$218,585.92 ",C0113,Individual,1,0,M,USA,2,Utah,Investment,3,0,1,No,4,Agency,2.8,0,0,1,,Reference Table ,,,Region,Coding 
1030,1,Apartment,30,743.09,"$246,172.68 ",C0141,Individual,1,0,F,USA,2,California,Home,1,1,0,No,5,Website,3.8,1,0,0,,Country,Coding,,California,1
2016,2,Apartment,16,701.66,"$212,265.67 ",C0146,Individual,1,0,M,USA,2,Colorado,Home,20,1,0,No,2,Website,0.8,1,0,0,,Australia,1,,Virginia,2
2018,2,Apartment,18,927.83,"$275,394.25 ",C0023,Individual,1,0,M,USA,2,California,Home,1,1,0,Yes,3,Website,1.8,1,0,0,,USA,2,,Utah,3
2029,2,Apartment,29,1109.25,"$310,223.29 ",C0040,Individual,1,0,M,USA,2,Nevada,Home,4,1,0,No,5,Website,3.8,1,0,0,,UK,3,,Nevada,4
3006,3,Apartment,6,1132.06,"$356,506.37 ",C0007,Individual,1,0,M,Canada,4,Quebec,Investment,5,0,1,No,5,Website,3.8,1,0,0,,Canada,4,,Quebec,5
3026,3,Apartment,26,670.89,"$212,520.83 ",C0082,Individual,1,0,F,USA,2,Virginia,Investment,2,0,1,No,5,Client,3.8,0,1,0,,Belgium,5,,Oregon,6
3031,3,Apartment,31,1596.35,"$407,214.29 ",C0038,Individual,1,0,F,USA,2,California,Investment,1,0,1,No,4,Client,2.8,0,1,0,,Denmark,6,,Scotland,7
3035,3,Apartment,35,781.07,"$269,278.57 ",C0107,Individual,1,0,M,USA,2,California,Home,1,1,0,Yes,4,Agency,2.8,0,0,1,,France,7,,New York,8
5033,5,Apartment,33,798.28,"$240,539.35 ",C0049,Individual,1,0,F,USA,2,California,Home,1,1,0,No,1,Website,-0.2,1,0,0,,Germany,8,,British Columbia,9
5046,5,Apartment,46,798.28,"$230,216.22 ",C0161,Individual,1,0,M,USA,2,California,Home,1,1,0,No,5,Website,3.8,1,0,0,,Mexico,9,,Queensland,10
10005,1,Apartment,1,748.06,"$222,435.93 ",C0396,Individual,1,0,M,USA,2,Nevada,Home,4,1,0,No,5,Agency,3.8,0,0,1,,Russia,10,,Alberta,11
10012,1,Apartment,2,715.67,"$199,315.51 ",C1809,Individual,1,0,F,USA,2,New York,Home,8,1,0,Yes,4,Agency,2.8,0,0,1,,,,,Arizona,12
10021,1,Apartment,3,788.73,"$285,972.38 ",C1508,Individual,1,0,M,UK,3,Scotland,Home,7,1,0,No,3,Agency,1.8,0,0,1,,,,,Berlin,13
10032,1,Apartment,4,633.61,"$179,987.43 ",C1572,Individual,1,0,M,Australia,1,Queensland,Home,10,1,0,No,3,Agency,1.8,0,0,1,,,,,Baja California,14
10105,1,Office,13,719.47,"$211,336.04 ",C0628,Individual,1,0,M,Canada,4,British Columbia,Home,9,1,0,Yes,3,Agency,1.8,0,0,1,,,,,Bavaria,15
10108,1,Apartment,14,1181.69,"$347,613.48 ",C0674,Individual,1,0,F,USA,2,California,Investment,1,0,1,No,4,Website,2.8,1,0,0,,,,,Brittany,16
10155,1,Apartment,20,1146.24,"$336,600.53 ",C0909,Individual,1,0,M,USA,2,California,Investment,1,0,1,Yes,1,Agency,-0.2,0,0,1,,,,,Brussels,17
10168,1,Apartment,21,1957.16,"$487,767.54 ",C0732,Individual,1,0,M,USA,2,Oregon,Home,6,1,0,No,5,Website,3.8,1,0,0,,,,,Capital Region,18
10179,1,Office,22,740.83,"$232,423.05 ",C1956,Individual,1,0,F,USA,2,Oregon,Home,6,1,0,No,2,Agency,0.8,0,0,1,,,,,Central Denmark,19
10184,1,Apartment,23,1201.5,"$322,459.21 ",C0760,Individual,1,0,F,USA,2,California,Investment,1,0,1,No,3,Website,1.8,1,0,0,,,,,Colorado,20
10199,1,Apartment,24,1146.11,"$328,475.64 ",C0661,Individual,1,0,F,Canada,4,Manitoba,Home,30,1,0,No,3,Website,1.8,1,0,0,,,,,England,21
10208,1,Office,24,1146.11,"$347,062.19 ",C1813,Individual,1,0,M,Germany,8,Hamburg,Investment,57,0,1,Yes,3,Website,1.8,1,0,0,,,,,Flanders,22
10220,1,Apartment,25,1154.92,"$372,242.47 ",C0431,Individual,1,0,M,USA,2,California,Home,1,1,0,Yes,5,Website,3.8,1,0,0,,,,,Florida,23
10222,1,Apartment,25,1154.92,"$384,462.57 ",C0054,Company,0,1,M,USA,2,Nevada,Investment,4,0,1,No,5,Website,3.8,1,0,0,,,,,Georgia,24
10264,1,Apartment,29,757.2,"$237,620.45 ",C1363,Individual,1,0,M,USA,2,Georgia,Home,24,1,0,Yes,5,Agency,3.8,0,0,1,,,,,Hesse,25
10297,1,Apartment,31,619.78,"$231,461.08 ",C1547,Individual,1,0,F,USA,2,Florida,Home,23,1,0,Yes,2,Agency,0.8,0,0,1,,,,,Ile-de-France,26
10333,1,Apartment,35,1168.59,"$339,117.71 ",C0442,Individual,1,0,F,USA,2,Colorado,Home,20,1,0,Yes,3,Website,1.8,1,0,0,,,,,Jalisco,27
20016,2,Apartment,2,788.72,"$251,478.61 ",C1969,Individual,1,0,M,USA,2,Colorado,Investment,20,0,1,Yes,2,Agency,0.8,0,0,1,,,,,Kansas,28
20061,2,Apartment,8,715.54,"$188,979.30 ",C0429,Individual,1,0,F,USA,2,California,Home,1,1,0,Yes,3,Website,1.8,1,0,0,,,,,Krasnodar Krai,29
20064,2,Apartment,8,715.54,"$212,960.69 ",C1841,Individual,1,0,M,USA,2,New York,Home,8,1,0,No,4,Website,2.8,1,0,0,,,,,Manitoba,30
20067,2,Apartment,8,715.54,"$184,000.39 ",C0116,Individual,1,0,F,USA,2,California,Investment,1,0,1,No,4,Website,2.8,1,0,0,,,,,Mexico City,31
20076,2,Apartment,9,584.19,"$194,033.05 ",C1634,Individual,1,0,F,USA,2,Georgia,Investment,24,0,1,No,2,Website,0.8,1,0,0,,,,,Moscow Oblast,32
20079,2,Apartment,9,584.19,"$184,956.85 ",C1632,Individual,1,0,F,USA,2,California,Investment,1,0,1,Yes,3,Agency,1.8,0,0,1,,,,,New South Wales,33
20087,2,Office,10,788.79,"$227,511.01 ",C1189,Individual,1,0,M,USA,2,Florida,Home,23,1,0,Yes,2,Client,0.8,0,1,0,,,,,Normandy,34
20100,2,Apartment,11,1625.05,"$523,288.27 ",C0962,Individual,1,0,M,USA,2,California,Home,1,1,0,No,4,Website,2.8,1,0,0,,,,,North Denmark,35
20102,2,Apartment,11,1625.05,"$507,842.87 ",C0040,Individual,1,0,M,USA,2,Nevada,Home,4,1,0,No,5,Website,3.8,1,0,0,,,,,North Rhine-Westphalia,36
20143,2,Apartment,17,1397.4,"$418,864.27 ",C0102,Individual,1,0,M,USA,2,California,Investment,1,0,1,Yes,5,Website,3.8,1,0,0,,,,,Northern Ireland,37
20174,2,Apartment,20,727.55,"$223,964.08 ",C1168,Individual,1,0,F,Germany,8,Hamburg,Home,57,1,0,Yes,2,Agency,0.8,0,0,1,,,,,Novosibirsk,38
20225,2,Apartment,25,943.48,"$313,123.78 ",C1924,Individual,1,0,M,USA,2,California,Home,1,1,0,No,3,Client,1.8,0,1,0,,,,,Nuevo Leon,39
20231,2,Apartment,26,1577.79,"$465,488.76 ",C1908,Individual,1,0,F,USA,2,California,Home,1,1,0,No,2,Website,0.8,1,0,0,,,,,Occitanie,40
20232,2,Apartment,26,1577.79,"$483,760.31 ",C0502,Individual,1,0,F,USA,2,Arizona,Home,12,1,0,No,4,Website,2.8,1,0,0,,,,,Ohio,41
20234,2,Apartment,26,1577.79,"$496,217.67 ",C1860,Company,0,1,F,USA,2,California,Home,1,1,0,Yes,4,Agency,2.8,0,0,1,,,,,Ontario,42
20250,2,Apartment,28,650.67,"$201,554.99 ",C0533,Individual,1,0,M,USA,2,Nevada,Investment,4,0,1,No,1,Agency,-0.2,0,0,1,,,,,Oregon,43
20256,2,Apartment,29,1107.33,"$362,974.97 ",C0791,Individual,1,0,M,USA,2,Texas,Home,49,1,0,No,4,Website,2.8,1,0,0,,,,,Provence,44
20282,2,Apartment,33,931.4,"$340,373.72 ",C0738,Individual,1,0,M,USA,2,Texas,Home,49,1,0,No,5,Website,3.8,1,0,0,,,,,Puebia,45
20286,2,Apartment,33,931.4,"$344,306.60 ",C0173,Individual,1,0,F,USA,2,Arizona,Home,12,1,0,Yes,5,Agency,3.8,0,0,1,,,,,Saint Petersburg,46
20368,2,Apartment,43,1118.94,"$311,723.42 ",C1310,Individual,1,0,F,USA,2,New York,Home,8,1,0,No,5,Agency,3.8,0,0,1,,,,,Southern Denmark,47
20384,2,Apartment,46,697.74,"$191,398.42 ",C1996,Individual,1,0,F,USA,2,Nevada,Home,4,1,0,Yes,1,Website,-0.2,1,0,0,,,,,Tatarstan,48
20421,2,Apartment,47,708.32,"$199,377.29 ",C1839,Individual,1,0,M,USA,2,California,Investment,1,0,1,No,2,Agency,0.8,0,0,1,,,,,Texas,49
20428,2,Apartment,49,1617.9,"$485,657.59 ",C0427,Individual,1,0,F,USA,2,California,Home,1,1,0,Yes,4,Website,2.8,1,0,0,,,,,Victoria,50
20484,2,Apartment,56,722.22,"$197,039.82 ",C0046,Individual,1,0,F,USA,2,California,Home,1,1,0,No,5,Client,3.8,0,1,0,,,,,Wales,51
30016,3,Apartment,1,689.75,"$231,937.37 ",C0374,Individual,1,0,F,Australia,1,New South Wales,Investment,33,0,1,Yes,4,Agency,2.8,0,0,1,,,,,Wallonia,52
30057,3,Apartment,6,668.89,"$203,633.01 ",C0570,Individual,1,0,F,France,7,Occitanie,Home,40,1,0,Yes,5,Website,3.8,1,0,0,,,,,Washington,53
30088,3,Apartment,9,1125.84,"$314,372.82 ",C1977,Individual,1,0,M,USA,2,Virginia,Home,2,1,0,No,1,Website,-0.2,1,0,0,,,,,Western Australia,54
